timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T13:37:28.891765,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,69,,-9,T_DECK,42.3895,-71.2028,77.0
2025-10-24T13:37:28.891916,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3895,-71.2028,77.0
2025-10-24T13:37:28.891974,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2028,77.0
2025-10-24T13:37:28.892047,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2028,77.0
2025-10-24T13:37:28.892118,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2028,77.0
2025-10-24T13:37:28.892191,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2028,77.0
2025-10-24T13:37:42.217009,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,69,,-9,T_DECK,42.3895,-71.2028,76.0
2025-10-24T13:37:42.217146,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3895,-71.2028,76.0
2025-10-24T13:37:42.217227,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2028,76.0
2025-10-24T13:37:42.217297,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2028,76.0
2025-10-24T13:37:42.217379,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2028,76.0
2025-10-24T13:37:42.217457,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2028,76.0
